"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.01.2022","148,100","144,800","158,100","142,900","145,77K","2,49%"
"25.01.2022","144,500","147,100","147,700","139,600","187,57K","-1,50%"
"24.01.2022","146,700","156,800","156,800","134,800","159,87K","-6,50%"
"23.01.2022","156,900","152,000","158,900","148,200","104,28K","3,09%"
"22.01.2022","152,200","173,000","175,400","140,400","197,37K","-12,02%"
"21.01.2022","173,000","188,300","192,000","167,400","144,88K","-8,42%"
"20.01.2022","188,900","201,400","209,900","188,000","70,14K","-6,21%"
"19.01.2022","201,400","204,100","212,700","199,200","96,93K","-1,42%"
"18.01.2022","204,300","214,400","217,800","199,700","98,54K","-4,80%"
"17.01.2022","214,600","224,100","230,700","212,000","137,32K","-4,32%"
"16.01.2022","224,300","217,900","228,300","213,300","64,17K","3,03%"
"15.01.2022","217,700","229,800","231,200","217,200","72,18K","-5,27%"
"14.01.2022","229,800","223,600","231,000","217,200","160,58K","2,82%"
"13.01.2022","223,500","199,100","230,000","198,500","247,66K","12,37%"
"12.01.2022","198,900","192,800","200,900","192,800","70,52K","3,11%"
"11.01.2022","192,900","182,800","193,400","181,200","109,93K","5,76%"
"10.01.2022","182,400","191,000","194,400","178,800","97,44K","-4,45%"
"09.01.2022","190,900","183,800","194,700","183,000","99,52K","3,81%"
"08.01.2022","183,900","194,900","197,700","179,200","96,90K","-5,55%"
"07.01.2022","194,700","204,500","208,900","192,100","124,42K","-4,84%"
"06.01.2022","204,600","206,300","206,500","193,900","90,66K","-0,92%"
"05.01.2022","206,500","222,100","225,200","200,800","87,85K","-7,02%"
"04.01.2022","222,100","231,400","233,400","220,600","83,55K","-4,02%"
"03.01.2022","231,400","239,700","239,700","223,600","91,76K","-3,46%"
"02.01.2022","239,700","250,300","251,300","236,400","90,03K","-4,20%"
"01.01.2022","250,200","228,800","252,700","228,800","127,60K","9,40%"
"31.12.2021","228,700","225,300","234,700","223,100","87,68K","1,46%"
"30.12.2021","225,400","214,600","228,600","209,300","106,11K","4,98%"
"29.12.2021","214,700","208,900","218,900","203,100","75,85K","2,97%"
"28.12.2021","208,500","220,800","221,100","207,300","97,20K","-5,53%"
"27.12.2021","220,700","217,700","236,500","215,700","159,27K","1,66%"
"26.12.2021","217,100","211,100","217,500","206,200","62,40K","2,84%"
"25.12.2021","211,100","204,400","218,200","203,200","79,14K","3,43%"
"24.12.2021","204,100","209,800","210,500","200,500","70,44K","-2,72%"
"23.12.2021","209,800","190,600","215,300","187,600","149,20K","10,07%"
"22.12.2021","190,600","189,100","194,600","186,300","82,78K","0,74%"
"21.12.2021","189,200","189,200","198,000","187,400","116,11K","0,11%"
"20.12.2021","189,000","183,700","193,200","179,500","127,09K","2,72%"
"19.12.2021","184,000","181,200","186,000","178,100","65,50K","1,55%"
"18.12.2021","181,200","181,600","185,700","178,100","54,40K","-0,22%"
"17.12.2021","181,600","187,100","188,800","176,800","74,79K","-2,99%"
"16.12.2021","187,200","188,200","198,300","185,000","117,46K","-0,48%"
"15.12.2021","188,100","186,600","190,700","179,000","84,66K","0,64%"
"14.12.2021","186,900","184,000","188,400","180,200","72,56K","1,52%"
"13.12.2021","184,100","197,900","199,000","181,700","90,36K","-6,97%"
"12.12.2021","197,900","198,600","202,000","191,600","79,79K","-0,25%"
"11.12.2021","198,400","189,800","199,900","187,400","77,82K","4,70%"
"10.12.2021","189,500","189,100","197,400","186,200","132,24K","0,05%"
"09.12.2021","189,400","209,700","210,600","187,900","98,90K","-9,68%"
"08.12.2021","209,700","207,000","214,100","200,800","93,77K","1,35%"
"07.12.2021","206,900","200,800","208,200","199,500","100,57K","2,63%"
"06.12.2021","201,600","201,300","203,700","185,900","107,07K","0,20%"
"05.12.2021","201,200","204,400","206,300","193,500","84,57K","-1,71%"
"04.12.2021","204,700","223,300","225,400","178,500","205,93K","-8,62%"
"03.12.2021","224,000","239,200","244,000","218,600","125,68K","-6,47%"
"02.12.2021","239,500","230,600","241,700","225,500","101,55K","3,81%"
"01.12.2021","230,700","238,200","242,700","227,300","108,07K","-3,03%"
"30.11.2021","237,900","235,800","250,300","228,200","147,26K","0,89%"
"29.11.2021","235,800","239,300","240,000","233,400","101,70K","-1,46%"
"28.11.2021","239,300","227,900","239,300","219,900","94,64K","4,91%"
"27.11.2021","228,100","226,900","233,700","225,600","83,02K","0,84%"
"26.11.2021","226,200","248,700","249,400","218,200","133,07K","-8,83%"
"25.11.2021","248,100","243,900","250,900","241,700","110,62K","1,72%"
"24.11.2021","243,900","237,200","247,000","233,300","155,32K","2,69%"
"23.11.2021","237,500","231,700","239,300","225,700","101,63K","2,41%"
"22.11.2021","231,900","250,700","251,100","229,100","104,81K","-7,76%"
"21.11.2021","251,400","247,300","253,700","242,300","66,91K","1,74%"
"20.11.2021","247,100","238,300","251,900","237,000","88,44K","3,56%"
"19.11.2021","238,600","226,400","239,600","224,300","81,80K","5,48%"
"18.11.2021","226,200","241,600","244,100","224,100","146,90K","-6,41%"
"17.11.2021","241,700","240,800","244,400","231,000","114,70K","0,37%"
"16.11.2021","240,800","268,000","268,000","231,300","190,96K","-10,18%"
"15.11.2021","268,100","275,200","279,000","265,100","96,05K","-2,51%"
"14.11.2021","275,000","270,600","281,800","266,600","89,54K","1,59%"
"13.11.2021","270,700","260,800","275,000","258,400","74,95K","3,84%"
"12.11.2021","260,700","263,500","267,000","252,100","96,67K","-1,21%"
"11.11.2021","263,900","267,100","271,100","261,100","132,33K","-1,27%"
"10.11.2021","267,300","289,600","292,900","260,200","178,53K","-7,64%"
"09.11.2021","289,400","275,000","294,000","269,400","170,02K","5,31%"
"08.11.2021","274,800","266,900","275,200","261,900","116,59K","3,00%"
"07.11.2021","266,800","259,900","266,900","258,900","65,36K","2,73%"
"06.11.2021","259,700","254,800","262,700","249,300","60,45K","1,41%"
"05.11.2021","256,100","260,600","262,900","253,300","84,02K","-1,80%"
"04.11.2021","260,800","266,200","267,000","256,000","70,83K","-1,92%"
"03.11.2021","265,900","275,200","275,300","263,800","84,75K","-3,31%"
"02.11.2021","275,000","271,100","277,200","267,800","69,62K","1,51%"
"01.11.2021","270,900","274,700","278,300","267,100","95,29K","-1,17%"
"31.10.2021","274,100","263,700","276,200","262,700","94,91K","4,30%"
"30.10.2021","262,800","269,100","269,800","260,700","71,39K","-2,09%"
"29.10.2021","268,400","267,000","271,200","265,100","91,06K","0,45%"
"28.10.2021","267,200","255,600","271,000","253,200","157,40K","4,54%"
"27.10.2021","255,600","280,000","283,400","248,600","194,71K","-8,71%"
"26.10.2021","280,000","286,600","293,900","278,900","197,67K","-2,44%"
"25.10.2021","287,000","289,300","296,800","284,000","149,78K","-0,83%"
"24.10.2021","289,400","267,400","295,100","266,500","173,35K","8,19%"
"23.10.2021","267,500","266,300","269,500","261,500","50,65K","0,38%"
"22.10.2021","266,500","271,000","275,300","264,300","94,48K","-1,73%"
"21.10.2021","271,200","260,300","275,100","257,900","142,66K","4,31%"
"20.10.2021","260,000","255,000","265,700","253,300","89,43K","1,96%"
"19.10.2021","255,000","256,500","260,400","251,700","71,42K","-0,58%"
"18.10.2021","256,500","261,400","264,500","252,500","75,99K","-1,72%"
"17.10.2021","261,000","268,000","268,300","253,500","80,30K","-2,43%"
"16.10.2021","267,500","273,800","274,800","265,000","93,54K","-2,44%"
"15.10.2021","274,200","266,800","279,000","261,000","125,79K","2,93%"
"14.10.2021","266,400","274,500","274,700","264,700","82,85K","-2,99%"
"13.10.2021","274,600","277,100","283,300","269,300","88,57K","-0,94%"
"12.10.2021","277,200","276,600","280,700","268,600","111,01K","0,18%"
"11.10.2021","276,700","269,900","279,900","265,300","113,79K","2,48%"
"10.10.2021","270,000","278,300","282,500","269,600","67,88K","-2,95%"
"09.10.2021","278,200","278,100","282,200","273,800","78,53K","0,18%"
"08.10.2021","277,700","277,800","286,400","276,200","114,30K","-0,04%"
"07.10.2021","277,800","286,400","295,600","275,900","149,35K","-3,04%"
"06.10.2021","286,500","270,700","294,400","262,500","177,88K","5,84%"
"05.10.2021","270,700","264,800","275,600","261,100","136,48K","2,15%"
"04.10.2021","265,000","259,300","267,300","251,600","99,29K","2,36%"
"03.10.2021","258,900","252,700","263,300","250,400","91,59K","2,37%"
"02.10.2021","252,900","257,400","262,400","251,700","95,21K","-1,79%"
"01.10.2021","257,500","251,100","261,500","243,300","135,88K","2,59%"
"30.09.2021","251,000","233,700","254,200","232,800","99,19K","7,31%"
"29.09.2021","233,900","229,500","240,700","228,800","84,95K","1,92%"
"28.09.2021","229,500","234,300","243,700","228,300","108,99K","-2,01%"
"27.09.2021","234,200","234,000","248,100","233,700","112,28K","0,00%"
"26.09.2021","234,200","235,600","237,000","221,800","138,88K","-0,72%"
"25.09.2021","235,900","233,400","242,300","230,200","102,77K","0,98%"
"24.09.2021","233,600","249,000","254,300","224,200","169,45K","-6,22%"
"23.09.2021","249,100","244,700","251,100","243,300","92,13K","1,71%"
"22.09.2021","244,900","218,500","245,500","214,600","108,84K","12,44%"
"21.09.2021","217,800","232,700","237,500","212,400","150,43K","-6,12%"
"20.09.2021","232,000","260,300","261,300","226,600","183,09K","-10,70%"
"19.09.2021","259,800","271,700","276,200","258,500","83,91K","-4,38%"
"18.09.2021","271,700","262,700","272,000","260,000","67,88K","3,50%"
"17.09.2021","262,500","264,100","267,600","256,900","72,65K","-0,57%"
"16.09.2021","264,000","269,500","273,300","259,600","102,14K","-1,97%"
"15.09.2021","269,300","269,100","274,400","265,400","100,94K","0,34%"
"14.09.2021","268,400","262,800","274,600","256,000","177,85K","1,90%"
"13.09.2021","263,400","256,300","269,800","241,900","228,14K","2,65%"
"12.09.2021","256,600","249,800","258,500","246,200","88,79K","2,76%"
"11.09.2021","249,700","249,300","258,700","247,200","80,67K","0,20%"
"10.09.2021","249,200","261,700","268,200","244,500","113,07K","-4,70%"
"09.09.2021","261,500","257,300","267,000","253,700","137,89K","1,83%"
"08.09.2021","256,800","263,300","271,000","245,400","176,40K","-1,95%"
"07.09.2021","261,900","314,800","316,300","232,900","255,15K","-16,91%"
"06.09.2021","315,200","315,500","321,700","301,200","116,94K","-0,06%"
"05.09.2021","315,400","305,400","319,100","299,800","104,25K","3,38%"
"04.09.2021","305,100","304,200","311,200","299,100","69,96K","0,46%"
"03.09.2021","303,700","302,400","309,600","296,700","84,22K","0,33%"
